Project_Name,PrimaryMission,EngagementType,CommunityPartner,CampusPartner,UNOstudents,Hourstudents,TotalHours
VPA-UNO: Princeton Healthcare System Time 1,Educational Support,knowledge/info sharing,Princeton Healthcare System,Volunteer Program Assessment at UNO,3,5,15
VPA-UNO: Girl Scouts Spirit of Nebraska Time 2,Educational Support,knowledge/info sharing,Girl Scouts Spirit of Nebraska,Volunteer Program Assessment at UNO,2,4,8
VPA-UNO: Do Space Time 2,Educational Support,knowledge/info sharing,Do Space,Volunteer Program Assessment at UNO,2,4.5,9
VPA-UNO: Lakeside Hospital Time 6,Educational Support,knowledge/info sharing,CHI Lakeside Hospital,Volunteer Program Assessment at UNO,2,6,12
VPA-UNO: The Upper Room Time 6,Educational Support,knowledge/info sharing,Swope Corridor Renaissance: The Upper Room,Volunteer Program Assessment at UNO,2,6,12
VPA-UNO: CASA Douglas County Time 5,Educational Support,knowledge/info sharing,Court Appointed Special Advocates in Douglas County,Volunteer Program Assessment at UNO,2,6,12
Global Youth Service Day - 4/8/2017,Social Justice,volunteering,Girl Scouts of Nebraska,Office of Civic and Social Responsibility,22,3.68,81.02
Global Youth Service Day - 4/8/2017,Social Justice,volunteering,Black Police Officers Association,Office of Civic and Social Responsibility,5,1.14,5.72
Global Youth Service Day - 4/8/2017,Social Justice,volunteering,Abide Network,Office of Civic and Social Responsibility,7,3.28,22.98
Seven Days of Service - 3/25/2017,Economic Sufficiency,volunteering,Habitat for Humanity - Omaha,Office of Civic and Social Responsibility,12,4.54,54.45
Seven Days of Service - 3/25/2017,Economic Sufficiency,volunteering,Habitat for Humanity - Council Bluffs,Office of Civic and Social Responsibility,13,4.48,58.25
Seven Days of Service - 3/25/2017,Economic Sufficiency,volunteering,Open Door Mission,Office of Civic and Social Responsibility,15,3.91,58.65
Seven Days of Service - 3/24/2017,International Service,volunteering,Chabad-Lubavitch of Nebraska Inc.,Office of Civic and Social Responsibility,11,4.41,48.5
Seven Days of Service - 3/24/2017,Educational Support,volunteering,Nebraska Lutheran Outdoor Ministry,Office of Civic and Social Responsibility,12,4.58,55
Seven Days of Service - 3/24/2017,Educational Support,volunteering,Hope Center for Kids,Office of Civic and Social Responsibility,13,4.47,58.05
Seven Days of Service - 3/24/2017,Health and Wellness,volunteering,Planned Parenthood,Office of Civic and Social Responsibility,20,4.89,97.8
Seven Days of Service - 3/24/2017,Educational Support,volunteering,4H Extension,Office of Civic and Social Responsibility,14,2.89,40.48
Seven Days of Service - 3/23/2017,Social Justice,volunteering,Salvation Army,Office of Civic and Social Responsibility,11,4.27,47
Seven Days of Service - 3/23/2017,Economic Sufficiency,volunteering,Heart Ministry Center,Office of Civic and Social Responsibility,17,4.49,76.37
Seven Days of Service - 3/23/2017,Social Justice,volunteering,Union for Contemporary Arts,Office of Civic and Social Responsibility,16,4.7,75.17
Seven Days of Service - 3/23/2017,Economic Sufficiency,volunteering,Heartland Family Services,Office of Civic and Social Responsibility,12,4.68,56.12
Seven Days of Service - 3/23/2017,Health and Wellness,volunteering,Nebraska AIDS Project,Office of Civic and Social Responsibility,6,0.88,5.3
Seven Days of Service - 3/22/2017,Health and Wellness,volunteering,Nebraska Community Blood Bank,Office of Civic and Social Responsibility,10,1.85,18.48
Seven Days of Service - 3/22/2017,Environmental Stewardship,volunteering,UNO Landscape Service,UNO Landscape Service,22,3.24,71.28
Seven Days of Service - 3/22/2017,International Service,volunteering,Nebraska Urban Indian Health Coalition,Office of Civic and Social Responsibility,12,4.97,59.67
Seven Days of Service - 3/22/2017,International Service,volunteering,Refugee Empowerment Center,Office of Civic and Social Responsibility,21,4.81,101.02
Seven Days of Service - 3/22/2017,International Service,volunteering,Lutheran Family Services - Refugee Resettlement Program,Office of Civic and Social Responsibility,7,3.78,26.48
Seven Days of Service - 3/21/2017,Economic Sufficiency,volunteering,Notre Dame Housing,YSEALI,11,4.64,51.09
Seven Days of Service - 3/21/2017,Educational Support,volunteering,Partnership 4 Kids,Office of Civic and Social Responsibility,12,2.88,34.52
Seven Days of Service - 3/21/2017,Economic Sufficiency,volunteering,Youth Emergency Services - Maternity House,Office of Civic and Social Responsibility,3,4.92,14.75
Seven Days of Service - 3/21/2017,Social Justice,volunteering,Youth Emergency Services,Office of Civic and Social Responsibility,13,5.31,69.03
Seven Days of Service - 3/21/2017,Health and Wellness,volunteering,QLI,YSEALI,13,4.65,60.48
Seven Days of Service - 3/21/2017,Economic Sufficiency,volunteering,Food Bank for the Heartland,Office of Civic and Social Responsibility,15,5.48,82.25
Seven Days of Service - 3/21/2017,Health and Wellness,volunteering,Grief's Journey,Office of Civic and Social Responsibility,11,4.77,52.45
Seven Days of Service - 3/20/2017,Environmental Stewardship,volunteering,Keep Omaha Beautiful,OPS UNO Middle College,6,3.79,22.76
Seven Days of Service - 3/20/2017,Environmental Stewardship,volunteering,Benson Plant Rescue,Office of Civic and Social Responsibility,16,4.92,78.65
Seven Days of Service - 3/20/2017,Environmental Stewardship,volunteering,No More Empty Cups,OPS UNO Middle College,9,4.31,38.8
Seven Days of Service - 3/20/2017,Environmental Stewardship,volunteering,Lauritzen Gardens,Office of Civic and Social Responsibility,15,4.89,73.28
Seven Days of Service - 3/20/2017,Environmental Stewardship,volunteering,Conservation Fusion,OPS UNO Middle College,12,3.99,47.9
Seven Days of Service - 3/18/2017,Economic Sufficiency,volunteering,Heart Ministry Center,Office of Civic and Social Responsibility,23,4.88,112.22
Seven Days of Service - 3/18/2017,Environmental Stewardship,volunteering,Benson Plant Rescue,Office of Civic and Social Responsibility,3,1.83,5.5
Seven Days of Service - 3/18/2017,Environmental Stewardship,volunteering,Manderson Community Garden,Office of Civic and Social Responsibility,8,4.11,32.85
Seven Days of Service - 3/18/2017,International Service,volunteering,Islamic Center of Omaha,Office of Civic and Social Responsibility,19,4.75,90.25
Seven Days of Service - 3/18/2017,Social Justice,volunteering,Black Police Officers Association,Office of Civic and Social Responsibility,5,3.06,15.28
Super Service Saturday - 2/4/2017,Social Justice,volunteering,Abide Network,Office of Civic and Social Responsibility,11,5.65,62.18
Super Service Saturday - 2/4/2017,Social Justice,volunteering,Youth Emergency Services,Office of Civic and Social Responsibility,3,5.57,16.72
Super Service Saturday - 2/4/2017,Educational Support,volunteering,Girl Scouts of Nebraska,Office of Civic and Social Responsibility,21,3.59,75.35
Super Service Saturday - 2/4/2017,Economic Sufficiency,volunteering,Open Door Mission,Office of Civic and Social Responsibility,15,5.02,75.35
Super Service Saturday - 2/4/2017,Social Justice,volunteering,Project Hope,Office of Civic and Social Responsibility,8,5.53,44.22
Super Service Saturday - 2/4/2017,Economic Sufficiency,volunteering,Habitat for Humanity - Omaha,Office of Civic and Social Responsibility,10,5.55,55.53
Super Service Saturday - 2/4/2017,Economic Sufficiency,volunteering,Habitat for Humanity - Council Bluffs,Office of Civic and Social Responsibility,6,5.42,32.52
Super Service Saturday - 2/4/2017,Social Justice,volunteering,Love's Jazz and Art Center,Office of Civic and Social Responsibility,7,5.52,38.65
Super Service Saturday - 2/4/2017,Economic Sufficiency,volunteering,No More Empty Pots,Office of Civic and Social Responsibility,12,5.69,68.25
World Aids Day of Service - 12/2/2016,Health and Wellness,volunteering,Nebraska AIDS Project,Office of Civic and Social Responsibility,24,1.26,30.35
World Aids Day of Service - 12/2/2016,Health and Wellness,volunteering,Douglas County Department of Health & Human Services,Office of Civic and Social Responsibility,19,1.89,35.98
World Aids Day of Service - 12/1/2016,Health and Wellness,volunteering,Planned Parenthood,Office of Civic and Social Responsibility,19,1.16,21.95
World Aids Day of Service - 12/1/2016,Health and Wellness,volunteering,Nebraska Community Blood Bank,Office of Civic and Social Responsibility,21,1.38,29.05
Veterans Day of Service - 11/12/2016,Social Justice,volunteering,American Legion 373,Office of Civic and Social Responsibility,6,6.04,36.23
Veterans Day of Service - 11/12/2016,Environmental Stewardship,volunteering,Lauritzen Gardens,Office of Civic and Social Responsibility,7,5.32,37.22
Veterans Day of Service - 11/12/2016,Economic Sufficiency,volunteering,Open Door Mission,Office of Civic and Social Responsibility,7,5.52,38.65
Veterans Day of Service - 11/12/2016,Social Justice,volunteering,Catholic Charities - Phoenix House,Office of Civic and Social Responsibility,6,5.86,35.13
Veterans Day of Service - 11/12/2016,Social Justice,volunteering,Veterans of Foreign Wars 247,Office of Civic and Social Responsibility,9,6.12,55.09
Veterans Day of Service - 11/12/2016,Educational Support,volunteering,Kaneko,Office of Civic and Social Responsibility,10,3.49,34.91
Veterans Day of Service - 11/11/2016,Social Justice,volunteering,Veterans of Foreign Wars 2503,Office of Civic and Social Responsibility,12,3.5,42
Three Days of Service - 10/18/2017,Environmental Stewardship,volunteering,Keep Omaha Beautiful,Office of Civic and Social Responsibility,10,4.86,48.61
Three Days of Service - 10/18/2017,Environmental Stewardship,volunteering,Benson Plant Rescue,Office of Civic and Social Responsibility,8,4.99,39.89
Three Days of Service - 10/18/2017,Environmental Stewardship,volunteering,Lauritzen Gardens,Office of Civic and Social Responsibility,2,5.15,10.3
Three Days of Service - 10/18/2017,Health and Wellness,volunteering,Marquis Place Assisted Living,Office of Civic and Social Responsibility,10,5.67,56.68
Three Days of Service - 10/18/2017,Educational Support,volunteering,Conservation Fusion,Office of Civic and Social Responsibility,9,2.53,22.8
Three Days of Service - 10/18/2017,Environmental Stewardship,volunteering,Upstream Weeds,Office of Civic and Social Responsibility,15,4.74,71.04
Three Days of Service - 10/17/2017,Environmental Stewardship,volunteering,Lauritzen Gardens,Office of Civic and Social Responsibility,21,5.16,108.3
Three Days of Service - 10/17/2017,Environmental Stewardship,volunteering,ONE Omaha,Office of Civic and Social Responsibility,27,5.25,141.63
Three Days of Service - 10/17/2017,Environmental Stewardship,volunteering,UNO Landscape Service,UNO Landscape Service,9,4.98,44.81
Three Days of Service - 10/17/2017,Educational Support,volunteering,Kaneko,Office of Civic and Social Responsibility,12,2.64,31.67
Three Days of Service - 10/17/2017,Economic Sufficiency,volunteering,Viking Ship Community Center,Office of Civic and Social Responsibility,2,6.5,13
Three Days of Service - 10/15/2016,Environmental Stewardship,volunteering,No More Empty Pots,Office of Civic and Social Responsibility,15,4.79,71.78
Three Days of Service - 10/15/2016,Educational Support,volunteering,Kaneko,Office of Civic and Social Responsibility,8,3.62,28.93
Three Days of Service - 10/15/2016,Environmental Stewardship,volunteering,Lauritzen Gardens,Office of Civic and Social Responsibility,21,5.26,110.52
Three Days of Service - 10/15/2016,Environmental Stewardship,volunteering,Keep Omaha Beautiful,Office of Civic and Social Responsibility,8,3.33,26.66
9/11 Remembrance Day of Service - 9/12/2016,Health and Wellness,volunteering,Military & Veterans Offices,Office of Civic and Social Responsibility,25,2.6,65
9/11 Remembrance Day of Service - 9/11/2016,Environmental Stewardship,volunteering,Keep Omaha Beautiful,Office of Civic and Social Responsibility,44,2.73,120
60 Minutes of Service - 4/5/2017,Environmental Stewardship,volunteering,Keep Omaha Beautiful,Office of Civic and Social Responsibility,40,0.95,38
60 Minutes of Service - 3/1/2017,Social Justice,volunteering,One Omaha ,Office of Civic and Social Responsibility,28,1,28
60 Minutes of Service - 2/1/2017,Educational Support,volunteering,Why Arts?,Office of Civic and Social Responsibility,28,0.96,27
60 Minutes of Service - 11/30/2016,Social Justice,volunteering,Nebraskans for Civic Reform,Office of Civic and Social Responsibility,25,1,25
60 Minutes of Service - 11/16/2016,Social Justice,volunteering,"One Omaha, Girl Scouts, Childrens Hospital",Office of Civic and Social Responsibility,37,0.89,33
60 Minutes of Service - 11/2/2016,Educational Support,volunteering,Partnership 4 Kids,Office of Civic and Social Responsibility,43,1.02,44
60 Minutes of Service - 10/26/2016,Environmental Stewardship,volunteering,Conservation Fusion,Office of Civic and Social Responsibility,30,1.1,33
60 Minutes of Service - 10/19/2016,Health and Wellness,volunteering,Red Cross & Maverick Food Pantry,Office of Civic and Social Responsibility,24,0.92,22
60 Minutes of Service - 10/12/2016,Environmental Stewardship,volunteering,Nebraska Watershed Network,Office of Civic and Social Responsibility,28,0.93,26
60 Minutes of Service - 10/5/2016,Educational Support,volunteering,"CEC Partner: Urban League, SLA, A Time To Heal, CEC, Girl Scouts",Office of Civic and Social Responsibility,39,1,39
60 Minutes of Service - 9/28/2016,Environmental Stewardship,volunteering,MAPA,Office of Civic and Social Responsibility,33,0.91,30
60 Minutes of Service - 9/21/2016,Economic Sufficiency,volunteering,Completely Kids,Office of Civic and Social Responsibility,31,0.9,28
60 Minutes of Service - 9/14/2016,Educational Support,volunteering,Why Arts?,Office of Civic and Social Responsibility,46,0.91,42
60 Minutes of Service - 9/7/2016,Educational Support,volunteering,Girl Scouts of Nebraska,Office of Civic and Social Responsibility,62,0.94,58
60 Minutes of Service - 8/31/2016,Educational Support,volunteering,Kaneko,Office of Civic and Social Responsibility,40,0.93,37
Collaborative Program Manager,Health and Wellness,community-based learning,QLI,Office of Civic and Social Responsibility,1,123,123
Collaborative Service Supervisor,Health and Wellness,community-based learning,Catholic Charities - Phoenix House,Office of Civic and Social Responsibility,1,153.5,153.5
Collaborative Program Manager,Educational Support,community-based learning,Hope Center for Kids,Office of Civic and Social Responsibility,1,150,150
Collaborative Program Manager,Environmental Stewardship,community-based learning,Office of Sustainability,Office of Civic and Social Responsibility,1,214,214
Collaborative Service Supervisor,International Service,community-based learning,Conservation Fusion,Office of Civic and Social Responsibility,1,142,142
Collaborative Program Manager,International Service,community-based learning,TMES,Office of Civic and Social Responsibility,1,214.5,214.5
Collaborative Program Manager,Educational Support,community-based learning,Girl Scouts of Nebraska,Office of Civic and Social Responsibility,1,280,280
Collaborative Program Manager,Health and Wellness,community-based learning,A Time To Heal,Office of Civic and Social Responsibility,1,167.5,167.5
Collaborative Program Manager,Environmental Stewardship,community-based learning,Fontennelle Forest,Office of Civic and Social Responsibility,1,56.25,56.25
Collaborative Service Supervisor,Social Justice,community-based learning,Sustained Dialogue,Office of Civic and Social Responsibility,1,343,343
Collaborative Program Manager,International Service,community-based learning,Reading Drive for Africa,Office of Civic and Social Responsibility,1,123.67,123.67
Collaborative Service Supervisor,Environmental Stewardship,community-based learning,No More Empty Pots,Office of Civic and Social Responsibility,1,314,314
Collaborative Service Supervisor,Educational Support,community-based learning,Why Arts?,Office of Civic and Social Responsibility,1,300,300
Collaborative Program Manager,Economic Sufficiency,community-based learning,Heartland Family Services,Office of Civic and Social Responsibility,1,234.25,234.25
Collaborative Program Manager,Social Justice,community-based learning,Nebraska Civic Engagement Table,Office of Civic and Social Responsibility,1,102.87,102.87
Collaborative Program Manager,International Service,community-based learning,S.E.H.R. Mission,Office of Civic and Social Responsibility,1,145,145
Collaborative Program Manager,Social Justice,community-based learning,ONE Omaha,Office of Civic and Social Responsibility,1,241.5,241.5
